,direction
금호1가동면목제3.8동,562
면목제4동면목제3.8동,535
상도제1동영등포동,452
답십리제4동전농제3동,414
중계1동면목제3.8동,388
신당제3동둔촌제2동,371
명륜3가동이화동,348
명륜3가동종로5.6가동,305
장안제3동풍납2동,295
전농제3동상봉제2동,282
장안제3동휘경제2동,271
상도제1동대림제3동,251
금호4가동신당제3동,243
상도제1동신정7동,242
이문제3동오금동,241
장안제3동수서동,239
방화제1동김포2동,238
상도제1동아현동,237
면목본동면목제3.8동,225
상도제1동보라매동,224
상도제1동삼성1동,214
신당제3동청량리동,211
답십리제4동답십리제3동,210
답십리제4동충현동,169
신당제2동행당제1동,163
상도제1동흑석동,156
이문제3동충현동,156
신당제3동광희동,153
도봉제2동의정부3동,150
신당제3동하계1동,145
이문제3동신내1동,138
신당제4동혜화동,136
공릉1.3동면목제3.8동,136
상도제1동면목제3.8동,132
신대방제1동신도동,128
원효로제2동제기제2동,123
하계1동답십리제3동,119
답십리제4동이화동,114
금호2.3가동신당제3동,111
상암동명륜3가동,110
신당제3동창신제1동,108
황학동신당제3동,107
면목제3.8동신내1동,104
이태원제1동신당제1동,100
장안제4동역곡2동,100
신내1동면목제3.8동,100
암사제3동답십리제3동,97
숭인제2동신당제1동,91
장안제3동회천3동,90
상도제1동종로1.2.3.4가동,88
일원본동면목제3.8동,87
장안제4동구산동,86
가락본동답십리제4동,81
신당제3동여의동,79
번제3동답십리제3동,77
행운동면목제3.8동,76
강일동면목제3.8동,73
면목제3.8동구의제1동,72
논현2동신도동,72
역삼1동상도제1동,71
잠실3동면목제3.8동,70
답십리제2동장안제4동,66
전농제3동회기동,65
망우본동면목제3.8동,64
이문제3동둔촌제2동,63
중화제2동신당제6동,62
중화제2동면목제3.8동,61
면목제3.8동관양1동,60
답십리제4동서빙고동,58
상도제1동장안제1동,58
답십리제4동사직동,56
마장동신당제3동,55
상도제1동구의제2동,53
답십리제3동양재2동,52
제기제1동청량리동,51
방배3동제기제1동,48
성산제1동제기제2동,48
면목제7동답십리제3동,47
이문제3동휘경제2동,47
면목제4동상도제1동,47
명륜3가동신촌동,45
논현1동신당제4동,44
상봉제1동면목제3.8동,44
공릉1.3동제기제2동,42
명륜3가동혜화동,42
풍납1동답십리제4동,40
전농제3동장안제4동,38
상도제1동여의동,38
대학동신당제4동,37
상도제4동상도제1동,34
회현동상도제1동,33
상봉제1동전농제3동,33
면목제3.8동도봉제2동,32
성산제2동답십리제3동,32
답십리제3동풍산동,30
신당제3동세곡동,30
신당제3동아현동,30
제기제2동도곡1동,30
월계3동답십리제3동,29
신당제4동오금동,29
상도제1동서림동,29
상도제1동상도제2동,28
신당제4동이화동,28
상도제1동명동,28
신당제6동세곡동,27
장안제3동상일동,27
신당제3동구산동,27
남가좌제2동상도제1동,27
진관동김포2동,26
전농제3동진관동,26
상봉제1동장안제4동,26
상도제1동신대방제2동,25
용산2가동제기제1동,25
상도제1동한남동,25
신당제3동한강로동,25
상도제1동혜화동,25
답십리제4동광희동,25
신당제1동왕십리제2동,25
자양제2동신당제6동,25
신당제3동신당제5동,24
미성동신당제2동,24
남영동김포1동,24
제기제1동신내1동,24
이문제3동단대동,24
면목제4동답십리제3동,23
신정3동제기제2동,23
길동신당제1동,23
이문제3동흑석동,23
용답동면목제3.8동,23
신촌동상도제1동,23
신당제6동신대방제2동,23
상도제1동상계10동,22
제기제1동신설동,22
사직동제기제1동,21
신당제3동일원본동,21
제기제2동종암동,21
신정4동답십리제3동,21
제기제1동천호제2동,21
제기제2동답십리제3동,21
이화동답십리제4동,20
신당제3동수서동,20
신당제3동삼선동,20
을지로동신당제3동,20
상도제1동역삼1동,20
신당제4동삼선동,19
명륜3가동회기동,19
답십리제4동반포4동,19
답십리제4동명동,19
서원동상도제1동,19
행당제2동면목제3.8동,19
장안제1동면목제3.8동,19
장안제3동마장동,19
옥수동면목제3.8동,19
상도제2동상도제1동,19
전농제3동대림제2동,18
월계1동면목제3.8동,18
상도제1동광희동,18
중계4동면목제3.8동,18
청림동상도제1동,18
공릉2동답십리제3동,18
상암동신당제1동,17
신당제3동정자3동,17
상도제1동회현동,16
답십리제4동진관동,16
창신제1동답십리제3동,16
신당제3동화양동,16
가락2동답십리제3동,16
답십리제3동화양동,16
휘경제2동장안제4동,16
삼성동신당제4동,16
강일동답십리제4동,16
장안제3동역삼1동,16
신내1동상도제1동,15
장안제4동휘경제2동,15
이문제3동용답동,14
답십리제3동신촌동,14
답십리제3동휘경제2동,14
신당제2동광희동,14
세곡동신당제3동,14
면목제2동면목제3.8동,14
면목제3.8동중계4동,14
신당제4동과천동,14
상도제1동신장2동,13
신내2동면목제3.8동,13
방화제3동제기제1동,13
답십리제3동하계1동,13
중계2.3동면목제3.8동,13
답십리제3동구의제2동,13
방학제1동가능1동,13
신당제4동종로1.2.3.4가동,13
장안제3동화양동,13
독산제1동김포1동,13
삼성2동제기제1동,13
공덕동김포2동,12
전농제3동중곡제3동,12
장안제4동구의제3동,12
은천동상도제1동,12
월계3동제기제1동,12
답십리제3동한남동,11
전농제3동이화동,11
이문제3동장안제1동,11
답십리제3동신내1동,11
답십리제4동능동,11
종암동제기제2동,11
상계8동답십리제3동,11
전농제2동이문제3동,11
방학제2동답십리제3동,11
신당제4동명동,11
문정2동신당제1동,11
신당제6동성수1가제1동,10
답십리제4동신내1동,10
신당제4동대학동,10
신당제3동녹번동,10
하계1동제기제1동,10
이문제3동여의동,10
면목제3.8동능동,10
상도제1동방화제1동,10
장안제3동회기동,10
신당제6동이화동,10
이문제3동서초2동,10
신내2동제기제1동,10
제기제2동회현동,10
방화제3동신당제2동,10
상봉제2동장안제3동,10
상도제1동신촌동,10
휘경제1동장안제4동,10
면목제2동제기제2동,9
목4동신당제2동,9
면목제7동제기제1동,9
청량리동면목제3.8동,9
답십리제4동왕십리도선동,9
월계2동제기제2동,9
답십리제3동상계8동,9
전농제3동왕십리도선동,9
신당제3동한남동,9
이문제3동회기동,9
전농제3동고덕제1동,9
시흥제3동제기제2동,9
장안제3동방화제2동,9
면목제3.8동신촌동,9
전농제3동풍납2동,9
신당제3동충현동,9
답십리제3동월계1동,8
전농제3동명동,8
마장동답십리제3동,8
답십리제3동문정2동,8
방학제2동제기제1동,8
장안제3동광적면,8
오륜동상도제1동,8
송중동면목제3.8동,8
전농제3동면목제3.8동,8
남현동답십리제3동,8
신당제1동노량진제1동,8
상도제1동이촌제1동,8
면목제3.8동화양동,8
제기제1동삼성2동,8
답십리제4동행당제1동,8
중계2.3동김포1동,8
신당제2동신당제3동,8
상도제1동상암동,8
장안제4동상일동,8
제기제1동서초1동,8
역촌동신당제3동,8
답십리제3동이화동,8
장안제3동둔촌제2동,8
답십리제4동전농제2동,8
신당제4동중화제2동,8
답십리제4동한강로동,8
월계3동면목제3.8동,8
면목제3.8동중곡제2동,8
제기제2동안암동,7
독산제3동면목제3.8동,7
상도제1동공항동,7
구로제5동상도제1동,7
방화제3동신도동,7
낙성대동상도제1동,7
신당제4동황학동,7
역촌동김포2동,7
이문제3동하계1동,7
이화동명륜3가동,7
신당제3동양재2동,7
이문제3동도곡1동,7
신림동신당제3동,7
신당제3동이화동,7
면목제3.8동구의제3동,7
신내2동답십리제4동,7
신월6동답십리제3동,7
신당제1동하계2동,7
묵제1동면목제3.8동,7
세곡동제기제1동,7
면목제3.8동회기동,7
장안제3동구의제3동,7
신당제3동풍납2동,6
신당제3동반포3동,6
응암제2동면목제3.8동,6
신당제4동삼성동,6
세곡동상도제1동,6
상봉제2동답십리제4동,6
명륜3가동용두동,6
성현동상도제1동,6
면목제3.8동신내2동,6
중화제2동전농제3동,6
상도제1동구로제5동,6
장안제3동구미동,6
번제2동제기제2동,6
답십리제3동신당제4동,6
장안제3동자금동,6
면목제3.8동상봉제1동,6
행당제1동제기제2동,6
제기제2동구의제2동,6
독산제3동제기제1동,6
중계2.3동제기제1동,6
목2동의정부3동,6
장안제3동사근동,6
장안제3동신대방제2동,6
전농제3동가리봉동,6
면목제3.8동청량리동,6
등촌제3동제기제1동,6
상도제1동인수동,6
면목제3.8동공릉2동,6
마장동면목제3.8동,6
장위제3동전농제3동,6
면목제3.8동구의제2동,6
회현동면목제3.8동,6
공릉2동면목제3.8동,6
전농제3동도봉제2동,6
상도제3동신당제4동,5
마장동장안제3동,5
전농제3동용두동,5
신당제3동회현동,5
답십리제3동회기동,5
면목제3.8동휘경제2동,5
등촌제3동김포1동,5
사당제2동상도제1동,5
답십리제3동흑석동,5
상계1동면목제3.8동,5
연희동제기제1동,5
행당제2동답십리제4동,5
안암동신당제1동,5
용두동제기제2동,5
신월1동김포2동,5
답십리제4동사근동,5
신대방제2동상도제1동,5
행당제1동신당제6동,5
도림동장안제3동,5
답십리제4동휘경제2동,5
장안제3동서초2동,5
중곡제3동전농제3동,5
상도제1동이촌제2동,5
상도제1동노량진제1동,5
홍은제1동상도제1동,5
가양제1동답십리제3동,5
면목제2동답십리제4동,5
장안제1동답십리제3동,5
제기제1동중계2.3동,5
시흥제2동신당제1동,5
장안제3동공릉1.3동,5
전농제3동휘경제2동,5
상도제1동세곡동,5
양재1동상도제1동,5
전농제3동성북동,5
면목제3.8동망우본동,5
용두동제기제1동,5
이문제3동용두동,5
제기제1동구의제1동,5
서교동상도제1동,5
이문제3동성수1가제2동,5
금호2.3가동면목제3.8동,5
이문제3동미아동,5
거여1동양재2동,5
하계1동전농제3동,5
면목제5동면목제3.8동,5
방화제3동제기제2동,5
답십리제3동제기제1동,5
명륜3가동종로1.2.3.4가동,5
답십리제4동구의제2동,5
상도제1동서원동,4
신대방제2동신당제1동,4
신정7동김포2동,4
상도제1동역삼2동,4
청파동상도제1동,4
명일제1동면목제3.8동,4
신당제1동상도제3동,4
용두동전농제3동,4
신당제4동조안면,4
신당제3동신촌동,4
답십리제4동한남동,4
방배2동상도제1동,4
성산제1동제기제1동,4
방화제1동상도제1동,4
전농제3동하계1동,4
신당제2동한남동,4
고척제1동상도제1동,4
이문제3동송포동,4
상일동신당제1동,4
전농제3동답십리제1동,4
전농제3동신촌동,4
중계본동신당제1동,4
상도제1동일원1동,4
상암동김포1동,4
면목제3.8동한강로동,4
상봉제1동답십리제3동,4
제기제1동월계3동,4
청운효자동제기제1동,4
신당제6동수유제3동,4
신당제3동도봉제1동,4
면목제3.8동중계본동,4
이화동장안제3동,4
이태원제1동김포1동,4
대치4동신당제1동,4
면목제3.8동상계1동,4
신당제4동묵제1동,4
이문제3동왕십리도선동,4
이문제3동면목제3.8동,4
장지동장안제4동,4
면목제3.8동한남동,4
성현동김포2동,4
신정2동상도제1동,4
답십리제4동수유제3동,4
휘경제2동이문제3동,4
전농제3동개포1동,4
명동전농제3동,4
신원동면목제3.8동,4
면목제3.8동금호1가동,4
휘경제2동답십리제3동,4
신당제1동신당제5동,4
면목제3.8동고강본동,4
석촌동신당제1동,4
강일동상도제1동,4
상도제1동신정6동,4
행당제2동제기제2동,4
중계2.3동제기제2동,4
답십리제4동공항동,4
명륜3가동진관동,4
시흥제1동상도제1동,4
면목제3.8동면목본동,4
방화제1동신당제3동,4
상도제1동한강로동,4
면목제3.8동도곡1동,4
신당제3동구로제2동,4
전농제2동답십리제3동,4
구의제1동상도제1동,4
신당제3동신사제1동,4
중계4동김포1동,4
제기제1동회기동,4
이문제3동송중동,4
신당제3동서초3동,3
이화동면목제3.8동,3
면목제3.8동회현동,3
신당제4동필동,3
진관동제기제1동,3
가양제2동김포1동,3
상도제1동도곡1동,3
남영동전농제3동,3
상도제1동상도제4동,3
명륜3가동동선동,3
신도림동상도제1동,3
망우제3동답십리제3동,3
전농제3동답십리제3동,3
답십리제4동제기제2동,3
한강로동상도제1동,3
풍납2동신당제3동,3
송천동김포2동,3
도림동상도제1동,3
답십리제3동소공동,3
금호2.3가동답십리제3동,3
상봉제2동면목제3.8동,3
답십리제4동장안제3동,3
장안제3동자양제3동,3
구의제2동답십리제4동,3
이문제3동이문제2동,3
답십리제4동풍납2동,3
공릉1.3동제기제1동,3
평창동신도동,3
이문제3동신설동,3
장안제3동남영동,3
장안제3동일원1동,3
신당제3동마장동,3
신당제4동방이1동,3
천호제3동제기제2동,3
신당제4동장암동,3
동선동장안제3동,3
낙성대동신당제3동,3
가양제3동제기제1동,3
종로5.6가동명륜3가동,3
상도제1동오류제2동,3
영등포동상도제1동,3
면목제3.8동범박동,3
신당제3동고척제1동,3
장안제3동답십리제1동,3
상도제1동자양제2동,3
천호제2동상도제1동,3
삼선동신당제3동,3
이문제3동송산1동,3
등촌제3동제기제2동,3
장안제3동신촌동,3
면목제3.8동응암제1동,3
방화제2동김포2동,3
신촌동김포1동,3
휘경제1동답십리제4동,3
장안제3동전농제3동,3
성산제2동제기제1동,3
명륜3가동면목본동,3
전농제1동전농제3동,3
상도제1동일원본동,3
신촌동면목제3.8동,3
반포2동신당제4동,3
신내2동김포1동,3
면목제2동제기제1동,3
상도제1동낙성대동,3
월계1동답십리제3동,3
용두동답십리제3동,3
석관동제기제1동,3
이문제3동독산제1동,3
이문제3동전농제2동,3
우이동신당제6동,3
삼성동상도제1동,3
정릉제4동신당제3동,3
화곡제8동김포2동,3
상도제1동천호제2동,3
이문제3동신내2동,3
번제3동제기제1동,3
등촌제3동김포2동,3
상도제1동대방동,3
답십리제3동신정4동,3
답십리제4동반포3동,3
신당제4동한남동,3
창제2동답십리제4동,3
거여1동면목제3.8동,3
제기제2동일원1동,3
전농제3동일원2동,3
제기제1동공덕동,3
신당제4동개포2동,3
장안제4동송산1동,3
상도제1동안양8동,3
영등포본동상도제1동,3
장안제3동잠실6동,3
신당제2동충현동,3
제기제2동중계2.3동,3
제기제1동신당제4동,3
신내1동답십리제3동,3
면목제4동제기제1동,3
묵제1동신당제4동,3
전농제3동상계6.7동,3
전농제3동화곡본동,3
면목제7동전농제3동,3
장안제4동방학제1동,3
쌍문제4동면목제3.8동,3
답십리제4동여의동,3
대림제2동이화동,3
이문제3동이화동,3
면목제3.8동면목제4동,3
한남동신당제3동,3
답십리제3동전농제2동,3
마장동신당제1동,3
성산제2동명륜3가동,3
서림동신당제4동,3
정릉제1동면목제3.8동,3
전농제3동남영동,3
신당제3동중계4동,3
이문제3동석관동,3
이문제3동대치4동,3
이화동신도동,3
이문제3동신정6동,3
장안제3동상봉제2동,3
신내2동장안제4동,3
신사제1동김포1동,3
숭인제2동신당제3동,3
김포1동중계2.3동,3
전농제3동구의제2동,3
홍제제3동김포2동,3
신당제3동신내1동,3
하계1동가능1동,3
전농제3동공릉1.3동,3
상도제1동강일동,3
이문제1동답십리제3동,3
묵제2동면목제3.8동,2
상도제1동삼성동,2
방학제1동제기제1동,2
천호제3동신당제3동,2
제기제2동발산제1동,2
신원동상도제1동,2
전농제2동제기제1동,2
답십리제4동호평동,2
신당제3동역곡3동,2
광희동신당제3동,2
쌍문제2동면목제3.8동,2
중곡제4동면목제3.8동,2
상도제1동남영동,2
공항동김포2동,2
신당제3동안양8동,2
공릉1.3동답십리제3동,2
장지동답십리제3동,2
대조동가능1동,2
신당제4동별내면,2
중계2.3동가능1동,2
상도제1동상계6.7동,2
개봉제3동신당제1동,2
상도제1동대림제1동,2
상도제1동은천동,2
중계4동제기제1동,2
중림동전농제3동,2
쌍문제2동장안제4동,2
양재1동답십리제3동,2
전농제3동방학제3동,2
공릉1.3동이문제3동,2
이문제3동상계2동,2
신당제3동사근동,2
사근동제기제2동,2
상도제1동미성동,2
종암동가능2동,2
답십리제3동가양제1동,2
행운동신당제1동,2
반포4동상도제1동,2
미성동신당제3동,2
월계3동김포2동,2
면목제3.8동제기제2동,2
신당제4동반포2동,2
명륜3가동전농제3동,2
원효로제1동답십리제3동,2
면목제3.8동왕십리도선동,2
이문제3동명동,2
제기제1동진관동,2
양재1동제기제1동,2
제기제1동연희동,2
신당제3동풍무동,2
이문제3동상계6.7동,2
행운동신당제2동,2
신당제1동마장동,2
신당제1동월곡제2동,2
면목제3.8동방배3동,2
월곡제2동신당제1동,2
제기제2동방학제2동,2
이문제3동잠실3동,2
제기제1동석관동,2
상도제1동왕십리도선동,2
갈현제1동답십리제3동,2
신당제1동사당제5동,2
월계1동전농제3동,2
중곡제4동김포2동,2
인수동면목제3.8동,2
면목제3.8동중화제1동,2
이문제3동신당제3동,2
성현동신당제2동,2
면목제3.8동중화제2동,2
북가좌제2동제기제2동,2
면목제7동면목제3.8동,2
답십리제3동진관동,2
제기제2동원효로제2동,2
자양제4동상도제1동,2
이문제3동종암동,2
제기제2동삼성2동,2
답십리제3동갈매동,2
제기제2동성산제1동,2
진관동신도동,2
하계1동제기제2동,2
고척제1동답십리제3동,2
월계3동이문제3동,2
면목제3.8동사근동,2
성산제2동상도제1동,2
아현동제기제2동,2
신당제6동수서동,2
신당제2동상도제3동,2
역촌동면목제3.8동,2
행당제2동답십리제3동,2
신당제6동신사제1동,2
답십리제3동답십리제4동,2
전농제3동답십리제4동,2
안암동의정부3동,2
상도제1동서교동,2
신당제2동이화동,2
도림동의정부3동,2
하계2동이문제3동,2
당산제2동상도제1동,2
번제3동제기제2동,2
신당제6동금호1가동,2
면목제7동답십리제4동,2
이문제3동종로1.2.3.4가동,2
장안제1동답십리제4동,2
중곡제3동신도동,2
면목제3.8동월계3동,2
개포1동전농제3동,2
가양제3동김포1동,2
면목제3.8동공항동,2
신당제3동도곡1동,2
이문제2동이문제3동,2
신당제3동안암동,2
흑석동상도제1동,2
월계3동제기제2동,2
독산제1동신도동,2
상도제1동성현동,2
방학제2동면목제3.8동,2
양평제1동장안제4동,2
장안제3동장안제1동,2
신당제1동천호제1동,2
삼선동제기제1동,2
중곡제2동면목제3.8동,2
장안제4동행당제1동,2
신당제4동여의동,2
신당제3동신당제1동,2
제기제1동망우본동,2
회기동제기제1동,2
화곡본동김포2동,2
번제3동김포1동,2
등촌제3동면목제3.8동,2
신당제4동보문동,2
인수동장안제3동,2
혜화동신당제4동,2
장안제4동풍납2동,2
답십리제4동회현동,2
거여1동신당제2동,2
거여1동전농제3동,2
종로1.2.3.4가동제기제1동,2
장안제3동월곡제2동,2
면목제3.8동인수동,2
답십리제4동대화동,2
답십리제3동안암동,2
장안제3동가락본동,2
방학제1동가능3동,2
답십리제1동장안제3동,2
능동답십리제4동,2
상봉제2동이문제3동,2
답십리제3동신설동,2
사근동장안제3동,2
신당제4동신당제6동,2
상도제4동신당제4동,2
창신제2동장안제3동,2
신당제6동상도제3동,2
답십리제4동필동,2
신당제6동마장동,2
신당제5동신당제1동,2
면목제3.8동영등포동,2
상도제1동사근동,2
장안제4동회기동,2
남영동면목제3.8동,2
상도제1동등촌제3동,2
신당제1동신대방제2동,2
신당제1동제기제1동,2
제기제2동공릉2동,2
불광제2동가능3동,2
명륜3가동충현동,2
목3동답십리제4동,2
신당제4동성북동,2
장안제3동안암동,2
이문제3동한남동,2
왕십리도선동전농제3동,2
화양동상도제1동,2
명륜3가동녹번동,2
장안제3동휘경제1동,2
면목제3.8동심곡2동,2
신당제4동광희동,2
답십리제4동마장동,2
제기제2동면목제3.8동,2
장안제3동수유제3동,2
장안제3동천호제3동,2
장안제4동용두동,2
상도제1동원천동,2
신사제1동신당제3동,2
회현동신당제1동,2
상도제1동중곡제1동,2
방배4동전농제3동,2
불광제1동신당제1동,2
답십리제3동사근동,2
답십리제4동청운효자동,2
신당제3동반포4동,2
이문제3동명일제1동,2
상도제1동서초2동,2
화양동장안제3동,2
장안제3동영등포본동,2
전농제3동반포3동,2
신당제6동풍납2동,2
답십리제3동중화제2동,2
신당제4동신당제5동,2
종암동제기제1동,2
면목제3.8동제기제1동,2
등촌제2동신도동,2
상계3.4동답십리제3동,2
면목제3.8동신당제1동,2
안암동신당제3동,2
신당제1동신정7동,2
면목제3.8동남영동,2
진관동상도제1동,2
답십리제4동휘경제1동,2
일원1동신당제1동,2
행당제1동장안제3동,2
면목제3.8동중곡제4동,2
답십리제3동광희동,2
장안제4동신내2동,2
답십리제3동마장동,2
제기제2동풍납2동,2
상도제1동홍은제1동,2
묵제1동가능1동,2
제기제2동중림동,2
면목제3.8동쌍문제3동,2
제기제1동문정2동,2
답십리제3동소사본2동,2
신당제1동흑석동,2
면목제3.8동명동,2
신당제4동상봉제1동,2
신당제1동길동,2
이문제3동퇴계원면,2
가능1동중계4동,2
휘경제2동답십리제4동,2
면목제3.8동장안제1동,2
전농제3동전농제2동,2
답십리제4동화곡제4동,2
혜화동면목제3.8동,2
신당제3동옥수동,2
장안제3동장위제1동,2
장안제3동중계2.3동,2
상도제1동숭인제2동,2
상도제1동잠원동,2
장안제4동한강로동,2
이촌제1동상도제1동,2
성수2가제1동신당제2동,2
장안제3동이화동,2
전농제3동여의동,2
장안제4동이화동,2
여의동전농제3동,2
면목제4동제기제2동,2
신당제3동전농제3동,2
답십리제4동신정3동,2
하계1동답십리제4동,2
신당제3동오금동,2
상봉제2동전농제3동,2
답십리제2동답십리제3동,2
이문제3동고덕제1동,2
하계1동면목제3.8동,2
회현동김포1동,2
면목제3.8동숭인제2동,2
제기제1동장안제1동,2
제기제1동방화제3동,2
방화제2동신도동,2
신내2동이문제3동,2
답십리제1동제기제2동,2
명륜3가동신설동,2
이문제3동청량리동,2
성현동신당제4동,2
화곡제6동김포2동,2
장안제3동별내면,2
시흥제1동제기제1동,2
발산제1동제기제1동,2
삼각산동면목제3.8동,2
문정2동김포2동,2
답십리제3동춘궁동,2
홍제제1동신당제4동,2
답십리제4동상계6.7동,2
녹번동신당제3동,2
신당제2동응봉동,2
신정2동제기제1동,1
방화제1동가능1동,1
신당제6동왕십리제2동,1
중곡제2동제기제1동,1
상도제1동소공동,1
신당제6동황학동,1
연남동상도제1동,1
대림제2동전농제3동,1
장안제3동창제5동,1
신사제1동면목제3.8동,1
신당제1동삼성2동,1
면목제3.8동등촌제3동,1
신당제5동면목제3.8동,1
상도제1동후암동,1
상도제1동신길제5동,1
답십리제4동용두동,1
장안제4동금호4가동,1
상도제3동신당제2동,1
풍무동신당제3동,1
답십리제3동황학동,1
구의제1동면목제3.8동,1
신당제1동구의제3동,1
후암동상도제1동,1
후암동신당제1동,1
신당제3동영등포동,1
신림동상도제1동,1
대조동상도제1동,1
당산제1동상도제1동,1
종로1.2.3.4가동김포1동,1
면목제3.8동대림제2동,1
서강동신당제3동,1
장안제3동조안면,1
전농제3동신길제4동,1
대치4동이문제3동,1
사당제2동가능3동,1
수궁동답십리제3동,1
장안제4동장충동,1
신당제3동삼청동,1
신월6동김포2동,1
