통계시군구명,등록장애인수,년도
강남구,15385,201808
강동구,17360,201808
강북구,17474,201808
강서구,28732,201808
관악구,20237,201808
광진구,12552,201808
구로구,17466,201808
금천구,11114,201808
노원구,27448,201808
도봉구,15345,201808
동대문구,15901,201808
동작구,14546,201808
마포구,13218,201808
서대문구,12591,201808
서초구,10733,201808
성동구,11877,201808
성북구,17371,201808
송파구,19901,201808
양천구,17273,201808
영등포구,14336,201808
용산구,8107,201808
은평구,21459,201808
종로구,5993,201808
중구,5672,201808
중랑구,20092,201808
강남구,15364,201809
강동구,17338,201809
강북구,17479,201809
강서구,28745,201809
관악구,20235,201809
광진구,12572,201809
구로구,17501,201809
금천구,11103,201809
노원구,27459,201809
도봉구,15371,201809
동대문구,15889,201809
동작구,14577,201809
마포구,13216,201809
서대문구,12620,201809
서초구,10736,201809
성동구,11903,201809
성북구,17388,201809
송파구,19895,201809
양천구,17279,201809
영등포구,14343,201809
용산구,8098,201809
은평구,21496,201809
종로구,5999,201809
중구,5658,201809
중랑구,20097,201809
강남구,15167,202109
강동구,18596,202109
강북구,17441,202109
강서구,28646,202109
관악구,20197,202109
광진구,12281,202109
구로구,18362,202109
금천구,11452,202109
노원구,27067,202109
도봉구,15294,202109
동대문구,15575,202109
동작구,14462,202109
마포구,12938,202109
서대문구,12362,202109
서초구,10376,202109
성동구,11348,202109
성북구,17401,202109
송파구,20340,202109
양천구,17539,202109
영등포구,14533,202109
용산구,7766,202109
은평구,21724,202109
종로구,5936,202109
중구,5611,202109
중랑구,20349,202109
강남구,15168,202108
강동구,18632,202108
강북구,17458,202108
강서구,28641,202108
관악구,20216,202108
광진구,12288,202108
구로구,18362,202108
금천구,11437,202108
노원구,27106,202108
도봉구,15292,202108
동대문구,15591,202108
동작구,14511,202108
마포구,12942,202108
서대문구,12380,202108
서초구,10418,202108
성동구,11375,202108
성북구,17410,202108
송파구,20367,202108
양천구,17572,202108
영등포구,14560,202108
용산구,7790,202108
은평구,21753,202108
종로구,5957,202108
중구,5633,202108
중랑구,20341,202108
강남구,15344,201908
강동구,17442,201908
강북구,17471,201908
강서구,28862,201908
관악구,20300,201908
광진구,12543,201908
구로구,17948,201908
금천구,11315,201908
노원구,27323,201908
도봉구,15438,201908
동대문구,15802,201908
동작구,14702,201908
마포구,13127,201908
서대문구,12628,201908
서초구,10531,201908
성동구,11739,201908
성북구,17633,201908
송파구,20192,201908
양천구,17403,201908
영등포구,14454,201908
용산구,8059,201908
은평구,21618,201908
종로구,6055,201908
중구,5701,201908
중랑구,20290,201908
강남구,15365,201909
강동구,17447,201909
강북구,17506,201909
강서구,28866,201909
관악구,20330,201909
광진구,12570,201909
구로구,18013,201909
금천구,11330,201909
노원구,27327,201909
도봉구,15435,201909
동대문구,15787,201909
동작구,14693,201909
마포구,13127,201909
서대문구,12628,201909
서초구,10533,201909
성동구,11710,201909
성북구,17646,201909
송파구,20246,201909
양천구,17399,201909
영등포구,14466,201909
용산구,8040,201909
은평구,21611,201909
종로구,6055,201909
중구,5704,201909
중랑구,20337,201909
강남구,15242,202009
강동구,18173,202009
강북구,17488,202009
강서구,28806,202009
관악구,20295,202009
광진구,12421,202009
구로구,18322,202009
금천구,11419,202009
노원구,27274,202009
도봉구,15432,202009
동대문구,15735,202009
동작구,14644,202009
마포구,13012,202009
서대문구,12567,202009
서초구,10529,202009
성동구,11515,202009
성북구,17576,202009
송파구,20319,202009
양천구,17579,202009
영등포구,14464,202009
용산구,8003,202009
은평구,21775,202009
종로구,6026,202009
중구,5704,202009
중랑구,20425,202009
강남구,15256,202008
강동구,18168,202008
강북구,17532,202008
강서구,28794,202008
관악구,20297,202008
광진구,12426,202008
구로구,18282,202008
금천구,11411,202008
노원구,27336,202008
도봉구,15434,202008
동대문구,15726,202008
동작구,14681,202008
마포구,13032,202008
서대문구,12551,202008
서초구,10537,202008
성동구,11559,202008
성북구,17604,202008
송파구,20311,202008
양천구,17572,202008
영등포구,14448,202008
용산구,8015,202008
은평구,21775,202008
종로구,6043,202008
중구,5715,202008
중랑구,20428,202008
강남구,15260,202005
강동구,18064,202005
강북구,17557,202005
강서구,28862,202005
관악구,20280,202005
광진구,12469,202005
구로구,18210,202005
금천구,11380,202005
노원구,27329,202005
도봉구,15456,202005
동대문구,15758,202005
동작구,14672,202005
마포구,13115,202005
서대문구,12581,202005
서초구,10529,202005
성동구,11579,202005
성북구,17647,202005
송파구,20192,202005
양천구,17522,202005
영등포구,14399,202005
용산구,8001,202005
은평구,21645,202005
종로구,6042,202005
중구,5695,202005
중랑구,20394,202005
강남구,15231,202011
강동구,18212,202011
강북구,17485,202011
강서구,28768,202011
관악구,20263,202011
광진구,12372,202011
구로구,18295,202011
금천구,11391,202011
노원구,27301,202011
도봉구,15432,202011
동대문구,15695,202011
동작구,14622,202011
마포구,12955,202011
서대문구,12554,202011
서초구,10516,202011
성동구,11429,202011
성북구,17517,202011
송파구,20268,202011
양천구,17552,202011
영등포구,14512,202011
용산구,7968,202011
은평구,21740,202011
종로구,6013,202011
중구,5706,202011
중랑구,20408,202011
강남구,15258,201901
강동구,17355,201901
강북구,17517,201901
강서구,28781,201901
관악구,20236,201901
광진구,12630,201901
구로구,17635,201901
금천구,11197,201901
노원구,27381,201901
도봉구,15309,201901
동대문구,15834,201901
동작구,14689,201901
마포구,13228,201901
서대문구,12640,201901
서초구,10563,201901
성동구,11845,201901
성북구,17417,201901
송파구,20127,201901
양천구,17365,201901
영등포구,14416,201901
용산구,8100,201901
은평구,21543,201901
종로구,6014,201901
중구,5653,201901
중랑구,20217,201901
강남구,15228,202010
강동구,18174,202010
강북구,17480,202010
강서구,28740,202010
관악구,20246,202010
광진구,12378,202010
구로구,18311,202010
금천구,11409,202010
노원구,27258,202010
도봉구,15423,202010
동대문구,15678,202010
동작구,14629,202010
마포구,12982,202010
서대문구,12574,202010
서초구,10503,202010
성동구,11473,202010
성북구,17562,202010
송파구,20275,202010
양천구,17544,202010
영등포구,14471,202010
용산구,7976,202010
은평구,21764,202010
종로구,6008,202010
중구,5698,202010
중랑구,20394,202010
강남구,15414,202002
강동구,17848,202002
강북구,17509,202002
강서구,28842,202002
관악구,20295,202002
광진구,12518,202002
구로구,18187,202002
금천구,11403,202002
노원구,27297,202002
도봉구,15457,202002
동대문구,15851,202002
동작구,14663,202002
마포구,13119,202002
서대문구,12602,202002
서초구,10570,202002
성동구,11649,202002
성북구,17681,202002
송파구,20252,202002
양천구,17477,202002
영등포구,14438,202002
용산구,8055,202002
은평구,21650,202002
종로구,6083,202002
중구,5699,202002
중랑구,20378,202002
강남구,15200,202012
강동구,18307,202012
강북구,17441,202012
강서구,28727,202012
관악구,20265,202012
광진구,12353,202012
구로구,18280,202012
금천구,11390,202012
노원구,27312,202012
도봉구,15436,202012
동대문구,15701,202012
동작구,14607,202012
마포구,12951,202012
서대문구,12551,202012
서초구,10542,202012
성동구,11412,202012
성북구,17490,202012
송파구,20286,202012
양천구,17558,202012
영등포구,14539,202012
용산구,7960,202012
은평구,21773,202012
종로구,6015,202012
중구,5700,202012
중랑구,20394,202012
강남구,15291,202006
강동구,18099,202006
강북구,17561,202006
강서구,28858,202006
관악구,20269,202006
광진구,12450,202006
구로구,18227,202006
금천구,11389,202006
노원구,27331,202006
도봉구,15471,202006
동대문구,15766,202006
동작구,14671,202006
마포구,13089,202006
서대문구,12577,202006
서초구,10541,202006
성동구,11561,202006
성북구,17660,202006
송파구,20196,202006
양천구,17560,202006
영등포구,14411,202006
용산구,7997,202006
은평구,21679,202006
종로구,6046,202006
중구,5705,202006
중랑구,20411,202006
강남구,15101,202204
강동구,18521,202204
강북구,17191,202204
강서구,28335,202204
관악구,20095,202204
광진구,12164,202204
구로구,18291,202204
금천구,11483,202204
노원구,26588,202204
도봉구,15224,202204
동대문구,15385,202204
동작구,14333,202204
마포구,12833,202204
서대문구,12216,202204
서초구,10146,202204
성동구,11166,202204
성북구,17346,202204
송파구,20396,202204
양천구,17476,202204
영등포구,14422,202204
용산구,7613,202204
은평구,21694,202204
종로구,5883,202204
중구,5562,202204
중랑구,20208,202204
강남구,15266,201902
강동구,17376,201902
강북구,17530,201902
강서구,28856,201902
관악구,20246,201902
광진구,12621,201902
구로구,17615,201902
금천구,11201,201902
노원구,27369,201902
도봉구,15322,201902
동대문구,15825,201902
동작구,14700,201902
마포구,13237,201902
서대문구,12660,201902
서초구,10543,201902
성동구,11834,201902
성북구,17410,201902
송파구,20211,201902
양천구,17334,201902
영등포구,14434,201902
용산구,8078,201902
은평구,21549,201902
종로구,6038,201902
중구,5654,201902
중랑구,20242,201902
강남구,15253,201903
강동구,17368,201903
강북구,17483,201903
강서구,28889,201903
관악구,20255,201903
광진구,12612,201903
구로구,17692,201903
금천구,11193,201903
노원구,27409,201903
도봉구,15329,201903
동대문구,15816,201903
동작구,14712,201903
마포구,13191,201903
서대문구,12676,201903
서초구,10578,201903
성동구,11827,201903
성북구,17494,201903
송파구,20249,201903
양천구,17365,201903
영등포구,14428,201903
용산구,8077,201903
은평구,21556,201903
종로구,6044,201903
중구,5662,201903
중랑구,20248,201903
강남구,15102,202205
강동구,18564,202205
강북구,17168,202205
강서구,28338,202205
관악구,20093,202205
광진구,12168,202205
구로구,18295,202205
금천구,11492,202205
노원구,26568,202205
도봉구,15215,202205
동대문구,15365,202205
동작구,14326,202205
마포구,12832,202205
서대문구,12207,202205
서초구,10099,202205
성동구,11135,202205
성북구,17335,202205
송파구,20375,202205
양천구,17437,202205
영등포구,14418,202205
용산구,7588,202205
은평구,21720,202205
종로구,5854,202205
중구,5548,202205
중랑구,20210,202205
강남구,15267,202007
강동구,18143,202007
강북구,17531,202007
강서구,28795,202007
관악구,20311,202007
광진구,12445,202007
구로구,18266,202007
금천구,11398,202007
노원구,27344,202007
도봉구,15457,202007
동대문구,15755,202007
동작구,14671,202007
마포구,13048,202007
서대문구,12578,202007
서초구,10532,202007
성동구,11578,202007
성북구,17640,202007
송파구,20264,202007
양천구,17579,202007
영등포구,14426,202007
용산구,8016,202007
은평구,21758,202007
종로구,6057,202007
중구,5705,202007
중랑구,20411,202007
강남구,15320,202004
강동구,18026,202004
강북구,17562,202004
강서구,28867,202004
관악구,20288,202004
광진구,12499,202004
구로구,18202,202004
금천구,11378,202004
노원구,27296,202004
도봉구,15439,202004
동대문구,15782,202004
동작구,14653,202004
마포구,13102,202004
서대문구,12601,202004
서초구,10532,202004
성동구,11596,202004
성북구,17657,202004
송파구,20187,202004
양천구,17505,202004
영등포구,14437,202004
용산구,8017,202004
은평구,21652,202004
종로구,6056,202004
중구,5691,202004
중랑구,20375,202004
강남구,15169,202201
강동구,18623,202201
강북구,17373,202201
강서구,28528,202201
관악구,20172,202201
광진구,12219,202201
구로구,18366,202201
금천구,11480,202201
노원구,26840,202201
도봉구,15310,202201
동대문구,15494,202201
동작구,14376,202201
마포구,12914,202201
서대문구,12280,202201
서초구,10252,202201
성동구,11266,202201
성북구,17358,202201
송파구,20371,202201
양천구,17519,202201
영등포구,14505,202201
용산구,7662,202201
은평구,21754,202201
종로구,5917,202201
중구,5615,202201
중랑구,20315,202201
강남구,15300,201907
강동구,17437,201907
강북구,17472,201907
강서구,28861,201907
관악구,20233,201907
광진구,12554,201907
구로구,17861,201907
금천구,11306,201907
노원구,27357,201907
도봉구,15415,201907
동대문구,15803,201907
동작구,14709,201907
마포구,13113,201907
서대문구,12619,201907
서초구,10531,201907
성동구,11753,201907
성북구,17615,201907
송파구,20202,201907
양천구,17422,201907
영등포구,14444,201907
용산구,8043,201907
은평구,21634,201907
종로구,6040,201907
중구,5696,201907
중랑구,20306,201907
강남구,15439,201912
강동구,17669,201912
강북구,17517,201912
강서구,28854,201912
관악구,20299,201912
광진구,12563,201912
구로구,18141,201912
금천구,11373,201912
노원구,27342,201912
도봉구,15450,201912
동대문구,15871,201912
동작구,14735,201912
마포구,13119,201912
서대문구,12612,201912
서초구,10556,201912
성동구,11686,201912
성북구,17687,201912
송파구,20280,201912
양천구,17456,201912
영등포구,14411,201912
용산구,8025,201912
은평구,21617,201912
종로구,6068,201912
중구,5712,201912
중랑구,20361,201912
강남구,15316,201906
강동구,17380,201906
강북구,17491,201906
강서구,28870,201906
관악구,20209,201906
광진구,12578,201906
구로구,17846,201906
금천구,11286,201906
노원구,27415,201906
도봉구,15396,201906
동대문구,15822,201906
동작구,14710,201906
마포구,13161,201906
서대문구,12676,201906
서초구,10532,201906
성동구,11765,201906
성북구,17577,201906
송파구,20248,201906
양천구,17399,201906
영등포구,14492,201906
용산구,8082,201906
은평구,21644,201906
종로구,6031,201906
중구,5686,201906
중랑구,20307,201906
강남구,15342,202003
강동구,17981,202003
강북구,17563,202003
강서구,28860,202003
관악구,20295,202003
광진구,12516,202003
구로구,18206,202003
금천구,11391,202003
노원구,27281,202003
도봉구,15458,202003
동대문구,15843,202003
동작구,14657,202003
마포구,13119,202003
서대문구,12637,202003
서초구,10577,202003
성동구,11620,202003
성북구,17651,202003
송파구,20223,202003
양천구,17465,202003
영등포구,14450,202003
용산구,8055,202003
은평구,21645,202003
종로구,6049,202003
중구,5695,202003
중랑구,20375,202003
강남구,15168,202202
강동구,18614,202202
강북구,17341,202202
강서구,28539,202202
관악구,20185,202202
광진구,12209,202202
구로구,18322,202202
금천구,11477,202202
노원구,26796,202202
도봉구,15284,202202
동대문구,15470,202202
동작구,14379,202202
마포구,12904,202202
서대문구,12275,202202
서초구,10215,202202
성동구,11226,202202
성북구,17366,202202
송파구,20365,202202
양천구,17514,202202
영등포구,14507,202202
용산구,7654,202202
은평구,21767,202202
종로구,5897,202202
중구,5605,202202
중랑구,20299,202202
강남구,15404,201910
강동구,17548,201910
강북구,17541,201910
강서구,28884,201910
관악구,20324,201910
광진구,12583,201910
구로구,18063,201910
금천구,11376,201910
노원구,27318,201910
도봉구,15429,201910
동대문구,15818,201910
동작구,14720,201910
마포구,13118,201910
서대문구,12591,201910
서초구,10532,201910
성동구,11687,201910
성북구,17661,201910
송파구,20233,201910
양천구,17396,201910
영등포구,14446,201910
용산구,8018,201910
은평구,21636,201910
종로구,6067,201910
중구,5701,201910
중랑구,20323,201910
강남구,15303,201904
강동구,17374,201904
강북구,17483,201904
강서구,28910,201904
관악구,20199,201904
광진구,12602,201904
구로구,17735,201904
금천구,11209,201904
노원구,27431,201904
도봉구,15324,201904
동대문구,15776,201904
동작구,14689,201904
마포구,13162,201904
서대문구,12687,201904
서초구,10558,201904
성동구,11793,201904
성북구,17542,201904
송파구,20280,201904
양천구,17402,201904
영등포구,14441,201904
용산구,8058,201904
은평구,21612,201904
종로구,6049,201904
중구,5675,201904
중랑구,20268,201904
강남구,15288,201905
강동구,17343,201905
강북구,17453,201905
강서구,28846,201905
관악구,20163,201905
광진구,12578,201905
구로구,17781,201905
금천구,11234,201905
노원구,27359,201905
도봉구,15372,201905
동대문구,15777,201905
동작구,14701,201905
마포구,13113,201905
서대문구,12661,201905
서초구,10514,201905
성동구,11788,201905
성북구,17533,201905
송파구,20230,201905
양천구,17375,201905
영등포구,14461,201905
용산구,8079,201905
은평구,21603,201905
종로구,6038,201905
중구,5667,201905
중랑구,20257,201905
강남구,15424,201911
강동구,17601,201911
강북구,17519,201911
강서구,28859,201911
관악구,20292,201911
광진구,12570,201911
구로구,18107,201911
금천구,11366,201911
노원구,27341,201911
도봉구,15438,201911
동대문구,15842,201911
동작구,14737,201911
마포구,13119,201911
서대문구,12595,201911
서초구,10528,201911
성동구,11684,201911
성북구,17678,201911
송파구,20236,201911
양천구,17407,201911
영등포구,14419,201911
용산구,8028,201911
은평구,21626,201911
종로구,6057,201911
중구,5728,201911
중랑구,20348,201911
강남구,15151,202203
강동구,18545,202203
강북구,17257,202203
강서구,28443,202203
관악구,20151,202203
광진구,12192,202203
구로구,18296,202203
금천구,11493,202203
노원구,26695,202203
도봉구,15231,202203
동대문구,15403,202203
동작구,14362,202203
마포구,12858,202203
서대문구,12246,202203
서초구,10198,202203
성동구,11202,202203
성북구,17350,202203
송파구,20401,202203
양천구,17501,202203
영등포구,14499,202203
용산구,7629,202203
은평구,21718,202203
종로구,5905,202203
중구,5585,202203
중랑구,20260,202203
강남구,15402,202001
강동구,17768,202001
강북구,17515,202001
강서구,28845,202001
관악구,20276,202001
광진구,12543,202001
구로구,18169,202001
금천구,11385,202001
노원구,27320,202001
도봉구,15455,202001
동대문구,15869,202001
동작구,14700,202001
마포구,13125,202001
서대문구,12585,202001
서초구,10559,202001
성동구,11678,202001
성북구,17672,202001
송파구,20270,202001
양천구,17443,202001
영등포구,14423,202001
용산구,8048,202001
은평구,21610,202001
종로구,6070,202001
중구,5708,202001
중랑구,20348,202001
강남구,15532,201802
강동구,17340,201802
강북구,17340,201802
강서구,28686,201802
관악구,20140,201802
광진구,12541,201802
구로구,17276,201802
금천구,11059,201802
노원구,27370,201802
도봉구,15171,201802
동대문구,15880,201802
동작구,14490,201802
마포구,13231,201802
서대문구,12597,201802
서초구,10736,201802
성동구,11763,201802
성북구,17477,201802
송파구,19764,201802
양천구,17176,201802
영등포구,14308,201802
용산구,8076,201802
은평구,21315,201802
종로구,6025,201802
중구,5678,201802
중랑구,20015,201802
강남구,15182,202112
강동구,18614,202112
강북구,17395,202112
강서구,28546,202112
관악구,20211,202112
광진구,12253,202112
구로구,18374,202112
금천구,11458,202112
노원구,26904,202112
도봉구,15300,202112
동대문구,15518,202112
동작구,14417,202112
마포구,12945,202112
서대문구,12311,202112
서초구,10291,202112
성동구,11284,202112
성북구,17382,202112
송파구,20356,202112
양천구,17525,202112
영등포구,14495,202112
용산구,7686,202112
은평구,21756,202112
종로구,5929,202112
중구,5634,202112
중랑구,20357,202112
강남구,15131,202106
강동구,18587,202106
강북구,17473,202106
강서구,28696,202106
관악구,20184,202106
광진구,12328,202106
구로구,18371,202106
금천구,11415,202106
노원구,27195,202106
도봉구,15347,202106
동대문구,15622,202106
동작구,14602,202106
마포구,12924,202106
서대문구,12395,202106
서초구,10419,202106
성동구,11364,202106
성북구,17465,202106
송파구,20319,202106
양천구,17582,202106
영등포구,14541,202106
용산구,7847,202106
은평구,21763,202106
종로구,5957,202106
중구,5665,202106
중랑구,20379,202106
강남구,15147,202107
강동구,18618,202107
강북구,17444,202107
강서구,28699,202107
관악구,20194,202107
광진구,12299,202107
구로구,18388,202107
금천구,11431,202107
노원구,27166,202107
도봉구,15326,202107
동대문구,15620,202107
동작구,14568,202107
마포구,12918,202107
서대문구,12386,202107
서초구,10413,202107
성동구,11363,202107
성북구,17463,202107
송파구,20310,202107
양천구,17580,202107
영등포구,14537,202107
용산구,7831,202107
은평구,21755,202107
종로구,5955,202107
중구,5650,202107
중랑구,20371,202107
강남구,15519,201803
강동구,17306,201803
강북구,17320,201803
강서구,28694,201803
관악구,20127,201803
광진구,12486,201803
구로구,17328,201803
금천구,11057,201803
노원구,27356,201803
도봉구,15199,201803
동대문구,15836,201803
동작구,14439,201803
마포구,13227,201803
서대문구,12603,201803
서초구,10731,201803
성동구,11792,201803
성북구,17455,201803
송파구,19745,201803
양천구,17173,201803
영등포구,14307,201803
용산구,8086,201803
은평구,21327,201803
종로구,6011,201803
중구,5671,201803
중랑구,20001,201803
강남구,15566,201801
강동구,17384,201801
강북구,17358,201801
강서구,28694,201801
관악구,20092,201801
광진구,12530,201801
구로구,17288,201801
금천구,11070,201801
노원구,27403,201801
도봉구,15165,201801
동대문구,15886,201801
동작구,14540,201801
마포구,13238,201801
서대문구,12622,201801
서초구,10759,201801
성동구,11754,201801
성북구,17514,201801
송파구,19804,201801
양천구,17197,201801
영등포구,14334,201801
용산구,8089,201801
은평구,21320,201801
종로구,6051,201801
중구,5681,201801
중랑구,20008,201801
강남구,15105,202105
강동구,18590,202105
강북구,17446,202105
강서구,28672,202105
관악구,20211,202105
광진구,12346,202105
구로구,18363,202105
금천구,11409,202105
노원구,27142,202105
도봉구,15358,202105
동대문구,15605,202105
동작구,14612,202105
마포구,12923,202105
서대문구,12394,202105
서초구,10452,202105
성동구,11367,202105
성북구,17468,202105
송파구,20320,202105
양천구,17578,202105
영등포구,14542,202105
용산구,7859,202105
은평구,21758,202105
종로구,5971,202105
중구,5675,202105
중랑구,20395,202105
강남구,15219,202111
강동구,18597,202111
강북구,17400,202111
강서구,28590,202111
관악구,20200,202111
광진구,12257,202111
구로구,18357,202111
금천구,11454,202111
노원구,26937,202111
도봉구,15301,202111
동대문구,15532,202111
동작구,14449,202111
마포구,12938,202111
서대문구,12329,202111
서초구,10305,202111
성동구,11280,202111
성북구,17409,202111
송파구,20356,202111
양천구,17526,202111
영등포구,14512,202111
용산구,7730,202111
은평구,21715,202111
종로구,5940,202111
중구,5633,202111
중랑구,20353,202111
강남구,15170,202110
강동구,18581,202110
강북구,17397,202110
강서구,28602,202110
관악구,20199,202110
광진구,12279,202110
구로구,18357,202110
금천구,11439,202110
노원구,26997,202110
도봉구,15291,202110
동대문구,15519,202110
동작구,14442,202110
마포구,12958,202110
서대문구,12330,202110
서초구,10345,202110
성동구,11311,202110
성북구,17395,202110
송파구,20345,202110
양천구,17538,202110
영등포구,14513,202110
용산구,7727,202110
은평구,21722,202110
종로구,5942,202110
중구,5633,202110
중랑구,20347,202110
강남구,15128,202104
강동구,18556,202104
강북구,17418,202104
강서구,28666,202104
관악구,20229,202104
광진구,12335,202104
구로구,18345,202104
금천구,11387,202104
노원구,27195,202104
도봉구,15363,202104
동대문구,15574,202104
동작구,14588,202104
마포구,12912,202104
서대문구,12391,202104
서초구,10463,202104
성동구,11366,202104
성북구,17475,202104
송파구,20276,202104
양천구,17555,202104
영등포구,14555,202104
용산구,7866,202104
은평구,21743,202104
종로구,5967,202104
중구,5676,202104
중랑구,20379,202104
강남구,15352,201810
강동구,17382,201810
강북구,17464,201810
강서구,28773,201810
관악구,20265,201810
광진구,12585,201810
구로구,17556,201810
금천구,11121,201810
노원구,27396,201810
도봉구,15372,201810
동대문구,15922,201810
동작구,14612,201810
마포구,13232,201810
서대문구,12605,201810
서초구,10691,201810
성동구,11919,201810
성북구,17415,201810
송파구,19905,201810
양천구,17318,201810
영등포구,14356,201810
용산구,8120,201810
은평구,21517,201810
종로구,5994,201810
중구,5660,201810
중랑구,20121,201810
강남구,15520,201804
강동구,17326,201804
강북구,17314,201804
강서구,28688,201804
관악구,20111,201804
광진구,12504,201804
구로구,17338,201804
금천구,11071,201804
노원구,27362,201804
도봉구,15238,201804
동대문구,15837,201804
동작구,14426,201804
마포구,13231,201804
서대문구,12581,201804
서초구,10726,201804
성동구,11811,201804
성북구,17448,201804
송파구,19735,201804
양천구,17178,201804
영등포구,14302,201804
용산구,8097,201804
은평구,21339,201804
종로구,5994,201804
중구,5676,201804
중랑구,20022,201804
강남구,15189,202101
강동구,18384,202101
강북구,17417,202101
강서구,28688,202101
관악구,20228,202101
광진구,12319,202101
구로구,18293,202101
금천구,11372,202101
노원구,27273,202101
도봉구,15426,202101
동대문구,15647,202101
동작구,14584,202101
마포구,12935,202101
서대문구,12512,202101
서초구,10513,202101
성동구,11412,202101
성북구,17452,202101
송파구,20332,202101
양천구,17528,202101
영등포구,14518,202101
용산구,7928,202101
은평구,21786,202101
종로구,5997,202101
중구,5691,202101
중랑구,20420,202101
강남구,15478,201805
강동구,17358,201805
강북구,17346,201805
강서구,28665,201805
관악구,20124,201805
광진구,12496,201805
구로구,17357,201805
금천구,11069,201805
노원구,27395,201805
도봉구,15276,201805
동대문구,15824,201805
동작구,14427,201805
마포구,13217,201805
서대문구,12571,201805
서초구,10735,201805
성동구,11796,201805
성북구,17435,201805
송파구,19710,201805
양천구,17215,201805
영등포구,14295,201805
용산구,8099,201805
은평구,21354,201805
종로구,5992,201805
중구,5680,201805
중랑구,19992,201805
강남구,15321,201811
강동구,17375,201811
강북구,17495,201811
강서구,28770,201811
관악구,20242,201811
광진구,12602,201811
구로구,17604,201811
금천구,11154,201811
노원구,27405,201811
도봉구,15367,201811
동대문구,15862,201811
동작구,14650,201811
마포구,13223,201811
서대문구,12614,201811
서초구,10638,201811
성동구,11877,201811
성북구,17401,201811
송파구,19942,201811
양천구,17334,201811
영등포구,14378,201811
용산구,8113,201811
은평구,21524,201811
종로구,6009,201811
중구,5642,201811
중랑구,20127,201811
강남구,15422,201807
강동구,17350,201807
강북구,17438,201807
강서구,28748,201807
관악구,20186,201807
광진구,12545,201807
구로구,17437,201807
금천구,11104,201807
노원구,27428,201807
도봉구,15370,201807
동대문구,15886,201807
동작구,14508,201807
마포구,13224,201807
서대문구,12576,201807
서초구,10755,201807
성동구,11850,201807
성북구,17398,201807
송파구,19868,201807
양천구,17258,201807
영등포구,14286,201807
용산구,8109,201807
은평구,21429,201807
종로구,5993,201807
중구,5680,201807
중랑구,20074,201807
강남구,15157,202103
강동구,18502,202103
강북구,17408,202103
강서구,28645,202103
관악구,20227,202103
광진구,12314,202103
구로구,18317,202103
금천구,11391,202103
노원구,27224,202103
도봉구,15385,202103
동대문구,15590,202103
동작구,14594,202103
마포구,12884,202103
서대문구,12404,202103
서초구,10485,202103
성동구,11370,202103
성북구,17488,202103
송파구,20298,202103
양천구,17568,202103
영등포구,14541,202103
용산구,7882,202103
은평구,21717,202103
종로구,5977,202103
중구,5686,202103
중랑구,20379,202103
강남구,15211,202102
강동구,18430,202102
강북구,17398,202102
강서구,28669,202102
관악구,20212,202102
광진구,12330,202102
구로구,18302,202102
금천구,11369,202102
노원구,27261,202102
도봉구,15420,202102
동대문구,15629,202102
동작구,14608,202102
마포구,12890,202102
서대문구,12445,202102
서초구,10489,202102
성동구,11397,202102
성북구,17455,202102
송파구,20309,202102
양천구,17548,202102
영등포구,14538,202102
용산구,7919,202102
은평구,21742,202102
종로구,5976,202102
중구,5695,202102
중랑구,20394,202102
강남구,15327,201812
강동구,17380,201812
강북구,17522,201812
강서구,28810,201812
관악구,20264,201812
광진구,12610,201812
구로구,17603,201812
금천구,11197,201812
노원구,27396,201812
도봉구,15373,201812
동대문구,15838,201812
동작구,14691,201812
마포구,13219,201812
서대문구,12610,201812
서초구,10581,201812
성동구,11880,201812
성북구,17415,201812
송파구,20008,201812
양천구,17350,201812
영등포구,14405,201812
용산구,8102,201812
은평구,21531,201812
종로구,6017,201812
중구,5638,201812
중랑구,20153,201812
강남구,15430,201806
강동구,17369,201806
강북구,17391,201806
강서구,28715,201806
관악구,20178,201806
광진구,12522,201806
구로구,17412,201806
금천구,11089,201806
노원구,27393,201806
도봉구,15341,201806
동대문구,15859,201806
동작구,14465,201806
마포구,13215,201806
서대문구,12580,201806
서초구,10753,201806
성동구,11822,201806
성북구,17424,201806
송파구,19786,201806
양천구,17239,201806
영등포구,14280,201806
용산구,8093,201806
은평구,21403,201806
종로구,5977,201806
중구,5684,201806
중랑구,20029,201806
